order_id,customer_id,order_date,sales_channel
1,1,2026-01-05,Online
2,2,2026-01-08,Store
3,3,2026-01-15,Corporate
4,4,2026-02-02,Corporate
5,5,2026-02-12,Online
6,6,2026-02-20,Corporate
7,7,2026-03-03,Store
8,8,2026-03-10,Corporate
9,9,2026-03-22,Online
10,10,2026-04-01,Corporate
11,1,2026-04-08,Online
12,3,2026-04-16,Corporate
13,4,2026-05-04,Corporate
14,6,2026-05-14,Corporate
15,8,2026-05-25,Corporate
16,2,2026-06-06,Store
17,5,2026-06-11,Online
18,7,2026-06-19,Store
19,9,2026-06-24,Online
20,10,2026-06-28,Corporate
